sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	hrt	position	bioreactor_number	year	HRT	POSITION	BIOREACTOR NUMBER	YEAR
INRC16_1A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	A	1	2016
INRC16_2A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	A	2	2016
INRC16_3A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	A	3	2016
INRC16_4A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	A	4	2016
INRC16_5A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	A	5	2016
INRC16_6A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	A	6	2016
INRC16_7A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	A	7	2016
INRC16_8A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	A	8	2016
INRC16_9A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	A	9	2016
INRC16_1B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	B	1	2016
INRC16_2B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	B	2	2016
INRC16_3B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	B	3	2016
INRC16_4B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	B	4	2016
INRC16_5B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	B	5	2016
INRC16_6B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	B	6	2016
INRC16_7B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	B	7	2016
INRC16_8B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	B	8	2016
INRC16_9B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	B	9	2016
INRC18_1A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	A	1	2018
INRC18_2A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	A	2	2018
INRC18_3A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	A	3	2018
INRC18_4A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	A	4	2018
INRC18_5A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	A	5	2018
INRC18_6A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	A	6	2018
INRC18_7A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	A	7	2018
INRC18_8A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	A	8	2018
INRC18_9A			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	A	9	2018
INRC18_1B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	B	1	2018
INRC18_2B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	B	2	2018
INRC18_3B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	B	3	2018
INRC18_4B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	B	4	2018
INRC18_5B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	B	5	2018
INRC18_6B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	B	6	2018
INRC18_7B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												8	B	7	2018
INRC18_8B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												2	B	8	2018
INRC18_9B			MICROBIOME	NOT APPLICABLE	BIOREACTOR	2018-03	USA: IOWA	42.019861 N 93.776872 W												16	B	9	2018
