sample,study,Plate,Sample Source,Extraction Method,Date of Sample Collection,treatment,Unique ID,Well,concentration (ng/ul),cent_speed,time,phase,replicate,count,Day
alexis.cent.001,centrifuge,plate 1,6000g  15 min Solid,MagAttract PowerSoil,11/3/17,,alexis.cent.001,A1,1.147154913,6000g,15min,Solid,,,11/3/17
alexis.cent.002,centrifuge,plate 1,6000g  15 min Solid,MagAttract PowerSoil,11/3/17,,alexis.cent.002,A2,1.305582603,6000g,15min,Solid,,,11/3/17
alexis.cent.003,centrifuge,plate 1,6000g  15 min Solid,MagAttract PowerSoil,11/3/17,,alexis.cent.003,A3,1.26089787,6000g,15min,Solid,,,11/3/17
alexis.cent.004,centrifuge,plate 1,FM  6/16/17 Solid,MagAttract PowerSoil,11/3/17,,alexis.cent.004,A4,2.455198911,FM,6/16/17,Solid,,,11/3/17
alexis.cent.005,centrifuge,plate 1,FM  6/16/17 Solid,MagAttract PowerSoil,11/3/17,,alexis.cent.005,A5,2.036787322,FM,6/16/17,Solid,,,11/3/17
alexis.cent.006,centrifuge,plate 1,FM  6/16/17 Solid,MagAttract PowerSoil,11/3/17,,alexis.cent.006,A6,2.48363465,FM,6/16/17,Solid,,,11/3/17
alexis.cent.007,centrifuge,plate 1,FM  05/16/17 Liquid,MagAttract PowerSoil,11/7/17,,alexis.cent.007,A7,3.101096413,FM,5/16/17,Solid,,,11/7/17
alexis.cent.008,centrifuge,plate 1,FM  05/16/17 Liquid,MagAttract PowerSoil,11/7/17,,alexis.cent.008,A8,2.914232984,FM,5/16/17,Solid,,,11/7/17
alexis.cent.009,centrifuge,plate 1,FM  05/16/17 Liquid,MagAttract PowerSoil,11/7/17,,alexis.cent.009,A9,2.962979966,FM,5/16/17,Solid,,,11/7/17
alexis.cent.010,centrifuge,plate 1,6000g    15min Solid,MagAttract PowerSoil,11/20/17,,alexis.cent.010,A10,2.455198911,6000g,15min,Solid,,,11/20/17
alexis.cent.011,centrifuge,plate 1,6000g    15min Solid,MagAttract PowerSoil,11/20/17,,alexis.cent.011,A11,3.34076907,6000g,15min,Solid,,,11/20/17
alexis.cent.012,centrifuge,plate 1,6000g    15min Solid,MagAttract PowerSoil,11/20/17,,alexis.cent.012,A12,2.702996066,6000g,15min,Solid,,,11/20/17
alexis.cent.013,centrifuge,plate 1,7100g   15 min Solid,MagAttract PowerSoil,11/7/17,,alexis.cent.013,B1,1.480259285,7100g,15min,Solid,,,11/7/17
alexis.cent.014,centrifuge,plate 1,7100g   15 min Solid,MagAttract PowerSoil,11/7/17,,alexis.cent.014,B2,1.711807446,7100g,15min,Solid,,,11/7/17
alexis.cent.015,centrifuge,plate 1,7100g   15 min Solid,MagAttract PowerSoil,11/7/17,,alexis.cent.015,B3,1.740243186,7100g,15min,Solid,,,11/7/17
alexis.cent.016,centrifuge,plate 1,FM  6/20/17 Solid,MagAttract PowerSoil,11/7/17,,alexis.cent.016,B4,2.077409806,FM,6/20/17,Solid,,,11/7/17
alexis.cent.017,centrifuge,plate 1,FM  6/20/17 Solid,MagAttract PowerSoil,11/7/17,,alexis.cent.017,B5,1.918982117,FM,6/20/17,Solid,,,11/7/17
alexis.cent.018,centrifuge,plate 1,FM  6/20/17 Solid,MagAttract PowerSoil,11/7/17,,alexis.cent.018,B6,2.235837495,FM,6/20/17,Solid,,,11/7/17
alexis.cent.019,centrifuge,plate 1,FM  05/22/17 Liquid,MagAttract PowerSoil,11/7/17,,alexis.cent.019,B7,2.702996066,FM,5/22/17,Solid,,,11/7/17
